Unnamed: 0,TIME_PERIOD,REF_AREA,HICP - Overall index (Monthly),HICP - Food & Beverages (Monthly),HICP - Housing & Electricity (Monthly)
612,2022-04,FI,5.8,6.0,8.5
613,2022-05,FI,7.1,9.1,8.8
614,2022-06,FI,8.1,10.9,9.3
615,2022-07,FI,8.0,12.4,10.3
616,2022-08,FI,7.9,12.5,10.6
617,2022-09,FI,8.4,14.5,11.6
618,2022-10,FI,8.4,15.7,10.8
619,2022-11,FI,9.1,16.1,15.2
620,2022-12,FI,8.8,16.0,14.4
621,2023-01,FI,7.9,15.4,11.8
622,2023-02,FI,8.0,16.3,10.4
623,2023-03,FI,6.7,16.2,7.3
624,2023-04,FI,6.3,13.7,7.6
625,2023-05,FI,5.0,11.1,6.5
626,2023-06,FI,4.1,9.2,5.5
627,2023-07,FI,4.2,8.2,4.6
628,2023-08,FI,3.1,6.8,0.3
629,2023-09,FI,3.0,4.6,0.6
630,2023-10,FI,2.4,4.0,-1.5
631,2023-11,FI,0.7,3.0,-5.3
632,2023-12,FI,1.3,2.3,-3.5
633,2024-01,FI,1.1,1.6,-3.2
634,2024-02,FI,1.1,-0.5,-1.4
635,2024-03,FI,0.6,-1.7,-2.1
636,2024-04,FI,0.6,-0.3,-1.4
637,2024-05,FI,0.4,-0.6,-1.4
638,2024-06,FI,0.5,-0.4,-1.1
639,2024-07,FI,0.5,-0.3,-1.2
640,2024-08,FI,1.1,-0.1,1.4
641,2024-09,FI,1.0,0.5,0.0
642,2024-10,FI,1.5,0.2,3.0
643,2024-11,FI,1.7,0.9,2.0
644,2024-12,FI,1.6,0.5,1.4
645,2025-01,FI,1.7,0.9,-0.3
646,2025-02,FI,1.5,1.6,-0.9
647,2025-03,FI,1.8,2.6,0.8
648,2025-04,FI,1.9,2.3,0.3
649,2025-05,FI,2.0,2.7,0.6
650,2020-01,FR,1.7,1.9,1.7
651,2020-02,FR,1.6,1.8,1.1
652,2020-03,FR,0.8,2.0,0.4
653,2020-04,FR,0.4,4.1,-0.1
654,2020-05,FR,0.4,3.9,-0.6
655,2020-06,FR,0.2,2.8,-1.3
656,2020-07,FR,0.9,1.1,-0.8
657,2020-08,FR,0.2,0.8,-0.7
658,2020-09,FR,0.0,0.9,-0.7
659,2020-10,FR,0.1,1.6,-0.6
660,2020-11,FR,0.2,2.2,-0.5
661,2020-12,FR,0.0,1.1,-0.4
662,2021-01,FR,0.8,1.0,-0.1
663,2021-02,FR,0.8,0.9,0.9
664,2021-03,FR,1.4,1.0,2.0
665,2021-04,FR,1.6,-0.5,2.4
666,2021-05,FR,1.8,-0.5,3.0
667,2021-06,FR,1.9,-0.3,3.2
668,2021-07,FR,1.5,0.9,4.1
669,2021-08,FR,2.4,1.4,4.2
670,2021-09,FR,2.7,1.1,4.9
671,2021-10,FR,3.2,0.7,6.4
672,2021-11,FR,3.4,0.4,7.0
673,2021-12,FR,3.4,1.4,6.8
674,2022-01,FR,3.3,1.7,7.1
675,2022-02,FR,4.2,2.3,7.4
676,2022-03,FR,5.1,3.2,9.0
677,2022-04,FR,5.4,4.2,9.8
678,2022-05,FR,5.8,4.6,10.2
679,2022-06,FR,6.5,6.3,10.6
680,2022-07,FR,6.8,7.2,10.1
681,2022-08,FR,6.6,8.4,9.3
682,2022-09,FR,6.2,10.6,9.7
683,2022-10,FR,7.1,12.9,10.4
684,2022-11,FR,7.1,13.0,9.9
685,2022-12,FR,6.7,12.9,8.2
686,2023-01,FR,7.0,14.1,8.0
687,2023-02,FR,7.3,15.8,8.7
688,2023-03,FR,6.7,16.9,7.0
689,2023-04,FR,6.9,15.7,6.1
690,2023-05,FR,6.0,14.9,5.3
691,2023-06,FR,5.3,14.3,4.5
692,2023-07,FR,5.1,13.2,3.0
693,2023-08,FR,5.7,11.6,5.7
694,2023-09,FR,5.7,9.9,5.3
695,2023-10,FR,4.5,8.0,3.4
696,2023-11,FR,3.9,7.9,3.3
697,2023-12,FR,4.1,7.4,4.8
698,2024-01,FR,3.4,5.8,4.9
699,2024-02,FR,3.2,3.5,4.9
700,2024-03,FR,2.4,1.6,4.2
701,2024-04,FR,2.4,1.2,4.2
702,2024-05,FR,2.6,1.3,4.7
703,2024-06,FR,2.5,0.8,4.8
704,2024-07,FR,2.7,0.5,6.7
705,2024-08,FR,2.2,0.5,4.3
706,2024-09,FR,1.4,0.5,3.7
707,2024-10,FR,1.6,0.7,3.8
708,2024-11,FR,1.7,0.2,3.7
709,2024-12,FR,1.8,0.0,3.9
710,2025-01,FR,1.8,0.1,3.8
711,2025-02,FR,0.9,0.3,-0.2
712,2025-03,FR,0.9,0.6,0.1
713,2025-04,FR,0.9,1.3,0.4
714,2025-05,FR,0.6,1.4,-0.1
715,2020-01,DE,1.6,2.5,1.9
716,2020-02,DE,1.7,3.3,1.6
717,2020-03,DE,1.3,3.6,1.3
718,2020-04,DE,0.8,4.6,1.1
719,2020-05,DE,0.5,4.3,0.7
720,2020-06,DE,0.8,4.1,0.8
721,2020-07,DE,0.0,0.9,-0.1
722,2020-08,DE,-0.1,0.6,-0.2
723,2020-09,DE,-0.4,0.5,-0.5
724,2020-10,DE,-0.5,1.3,-0.6
725,2020-11,DE,-0.7,1.2,-0.6
726,2020-12,DE,-0.7,0.4,-0.4
727,2021-01,DE,1.6,1.9,0.4
728,2021-02,DE,1.6,1.4,0.8
729,2021-03,DE,2.0,1.5,1.2
730,2021-04,DE,2.1,1.8,1.3
731,2021-05,DE,2.4,1.3,1.7
732,2021-06,DE,2.1,1.2,1.9
733,2021-07,DE,3.1,4.3,2.9
734,2021-08,DE,3.4,4.4,3.1
735,2021-09,DE,4.1,4.8,3.5
736,2021-10,DE,4.6,4.3,4.7
737,2021-11,DE,6.0,4.5,5.2
738,2021-12,DE,5.7,5.8,5.0
739,2022-01,DE,5.1,4.7,7.1
740,2022-02,DE,5.5,5.0,8.0
741,2022-03,DE,7.6,5.9,11.7
742,2022-04,DE,7.8,7.9,11.6
743,2022-05,DE,8.7,10.4,12.8
744,2022-06,DE,8.2,11.8,13.9
745,2022-07,DE,8.5,13.7,15.0
746,2022-08,DE,8.8,15.5,16.2
747,2022-09,DE,10.9,17.4,17.9
748,2022-10,DE,11.6,18.9,19.5
749,2022-11,DE,11.3,19.7,19.4
750,2022-12,DE,9.6,19.5,12.9
751,2023-01,DE,9.2,19.6,14.0
752,2023-02,DE,9.3,21.2,12.9
753,2023-03,DE,7.8,21.8,9.1
754,2023-04,DE,7.6,17.4,9.3
755,2023-05,DE,6.3,15.0,7.8
756,2023-06,DE,6.8,13.8,6.4
757,2023-07,DE,6.5,11.3,5.2
758,2023-08,DE,6.4,9.3,4.3
759,2023-09,DE,4.3,8.0,2.4
760,2023-10,DE,3.0,6.7,-0.4
761,2023-11,DE,2.3,6.1,-1.2
762,2023-12,DE,3.8,5.4,4.0
763,2024-01,DE,3.1,4.7,0.5
764,2024-02,DE,2.7,2.1,0.5
765,2024-03,DE,2.3,0.6,0.1
766,2024-04,DE,2.4,1.6,0.6
767,2024-05,DE,2.8,1.6,0.6
768,2024-06,DE,2.5,1.9,0.7
769,2024-07,DE,2.6,2.2,0.8
770,2024-08,DE,2.0,2.4,0.5
771,2024-09,DE,1.8,2.4,0.5
772,2024-10,DE,2.4,3.1,0.8
773,2024-11,DE,2.4,2.6,1.3
774,2024-12,DE,2.8,2.8,1.8
775,2025-01,DE,2.8,1.5,1.0
776,2025-02,DE,2.6,2.9,1.1
777,2025-03,DE,2.3,3.6,1.3
778,2025-04,DE,2.2,3.3,0.7
779,2025-05,DE,2.1,3.3,0.8
780,2020-01,GR,1.1,0.2,0.5
781,2020-02,GR,0.4,0.1,-1.0
782,2020-03,GR,0.2,0.1,-3.0
783,2020-04,GR,-0.9,1.1,-5.0
784,2020-05,GR,-0.7,2.0,-4.9
785,2020-06,GR,-1.9,3.9,-5.2
786,2020-07,GR,-2.1,2.1,-5.2
787,2020-08,GR,-2.3,2.2,-5.3
788,2020-09,GR,-2.3,2.7,-6.3
789,2020-10,GR,-2.0,2.0,-4.7
790,2020-11,GR,-2.1,1.9,-4.6
791,2020-12,GR,-2.4,0.8,-4.3
792,2021-01,GR,-2.4,-0.6,-3.6
793,2021-02,GR,-1.9,-0.6,-2.1
794,2021-03,GR,-2.0,-0.2,0.1
795,2021-04,GR,-1.1,-1.0,2.2
796,2021-05,GR,-1.2,-0.5,3.5
797,2021-06,GR,0.6,1.0,4.0
798,2021-07,GR,0.7,2.1,4.1
799,2021-08,GR,1.2,3.3,4.3
800,2021-09,GR,1.9,3.5,4.4
801,2021-10,GR,2.8,2.9,11.9
802,2021-11,GR,4.0,3.6,18.1
803,2021-12,GR,4.4,4.3,18.8
804,2022-01,GR,5.5,5.3,23.7
805,2022-02,GR,6.3,7.2,26.3
806,2022-03,GR,8.0,8.2,30.6
807,2022-04,GR,9.1,10.9,36.1
808,2022-05,GR,10.5,12.3,36.1
809,2022-06,GR,11.6,12.5,32.5
810,2022-07,GR,11.3,12.6,32.2
811,2022-08,GR,11.2,13.0,33.4
812,2022-09,GR,12.1,12.8,38.1
813,2022-10,GR,9.5,14.8,11.6
814,2022-11,GR,8.8,14.9,5.1
815,2022-12,GR,7.6,15.4,2.5
816,2023-01,GR,7.3,15.2,-0.3
817,2023-02,GR,6.5,14.5,-4.9
818,2023-03,GR,5.4,14.0,-10.4
819,2023-04,GR,4.5,11.1,-13.7
820,2023-05,GR,4.1,11.4,-13.3
821,2023-06,GR,2.8,12.5,-12.1
822,2023-07,GR,3.5,12.9,-12.4
823,2023-08,GR,3.5,10.8,-13.5
824,2023-09,GR,2.4,9.7,-16.2
825,2023-10,GR,3.8,10.4,-2.3
826,2023-11,GR,2.9,8.9,-1.5
827,2023-12,GR,3.7,8.9,-0.9
828,2024-01,GR,3.2,8.3,-3.1
829,2024-02,GR,3.1,6.7,-0.7
830,2024-03,GR,3.4,5.5,0.2
831,2024-04,GR,3.2,5.4,-0.8
832,2024-05,GR,2.4,2.6,-2.1
833,2024-06,GR,2.5,1.3,-0.8
834,2024-07,GR,3.0,1.5,2.4
835,2024-08,GR,3.2,2.3,6.0
836,2024-09,GR,3.1,3.3,6.6
837,2024-10,GR,3.1,1.0,4.0
838,2024-11,GR,3.0,0.4,2.8
839,2024-12,GR,2.9,-0.5,4.5
840,2025-01,GR,3.1,-0.1,5.4
841,2025-02,GR,3.0,0.2,6.0
842,2025-03,GR,3.1,2.3,7.3
843,2025-04,GR,2.6,2.1,5.3
844,2025-05,GR,3.3,3.1,8.0
845,2020-01,HU,4.7,6.9,2.1
846,2020-02,HU,4.4,7.0,2.0
847,2020-03,HU,3.9,7.6,1.9
848,2020-04,HU,2.5,8.9,1.7
849,2020-05,HU,2.2,8.6,1.6
850,2020-06,HU,2.9,8.0,1.6
851,2020-07,HU,3.9,7.8,1.4
852,2020-08,HU,4.0,7.9,1.3
853,2020-09,HU,3.4,7.3,1.1
854,2020-10,HU,3.0,6.4,1.1
855,2020-11,HU,2.8,5.9,1.0
856,2020-12,HU,2.8,4.4,1.0
857,2021-01,HU,2.9,3.4,1.0
858,2021-02,HU,3.3,2.8,0.9
859,2021-03,HU,3.9,2.1,0.9
860,2021-04,HU,5.2,1.7,1.1
861,2021-05,HU,5.3,1.7,1.4
862,2021-06,HU,5.3,2.4,1.6
863,2021-07,HU,4.7,2.3,2.2
864,2021-08,HU,4.9,2.9,2.3
865,2021-09,HU,5.5,3.7,2.8
866,2021-10,HU,6.6,4.6,2.9
867,2021-11,HU,7.5,5.4,3.3
868,2021-12,HU,7.4,7.7,3.5
869,2022-01,HU,7.9,10.1,3.9
870,2022-02,HU,8.4,11.4,4.4
871,2022-03,HU,8.6,13.4,4.8
872,2022-04,HU,9.6,16.1,5.5
873,2022-05,HU,10.8,19.4,6.0
874,2022-06,HU,12.6,23.0,6.4
875,2022-07,HU,14.7,28.7,6.5
876,2022-08,HU,18.6,33.1,29.8
877,2022-09,HU,20.7,37.6,36.1
878,2022-10,HU,21.9,43.0,38.1
879,2022-11,HU,23.1,47.2,38.4
880,2022-12,HU,25.0,47.9,33.6
881,2023-01,HU,26.2,46.9,32.1
882,2023-02,HU,25.8,45.9,30.3
883,2023-03,HU,25.6,44.8,27.6
884,2023-04,HU,24.4,39.1,26.2
885,2023-05,HU,21.9,34.1,23.9
886,2023-06,HU,19.9,29.4,22.0
887,2023-07,HU,17.5,22.1,22.3
888,2023-08,HU,14.2,18.0,0.2
889,2023-09,HU,12.2,13.3,-4.1
890,2023-10,HU,9.6,8.0,-5.9
891,2023-11,HU,7.7,4.7,-6.7
892,2023-12,HU,5.5,2.4,-4.0
893,2024-01,HU,3.7,1.0,-2.5
894,2024-02,HU,3.6,-0.6,-1.2
895,2024-03,HU,3.6,-2.1,1.9
896,2024-04,HU,3.6,-1.6,1.2
897,2024-05,HU,3.9,-1.4,2.1
898,2024-06,HU,3.6,-1.3,2.2
899,2024-07,HU,4.1,0.8,1.0
900,2024-08,HU,3.4,0.6,1.0
901,2024-09,HU,3.0,2.3,0.9
902,2024-10,HU,3.4,3.5,1.1
903,2024-11,HU,3.9,4.0,1.8
904,2024-12,HU,4.8,4.7,3.4
905,2025-01,HU,5.7,5.5,3.7
906,2025-02,HU,5.7,6.8,3.6
907,2025-03,HU,4.8,6.5,2.3
908,2025-04,HU,4.2,3.9,3.6
909,2025-05,HU,4.5,4.5,3.9
910,2020-01,IE,1.1,-1.1,3.6
911,2020-02,IE,0.9,-1.0,2.8
912,2020-03,IE,0.5,-1.6,1.2
913,2020-04,IE,-0.3,-1.3,-2.3
914,2020-05,IE,-0.8,-1.3,-4.1
915,2020-06,IE,-0.6,-1.5,-3.7
916,2020-07,IE,-0.6,-1.3,-3.4
917,2020-08,IE,-1.1,-1.7,-3.6
918,2020-09,IE,-1.2,-1.4,-4.4
919,2020-10,IE,-1.5,-1.5,-3.9
920,2020-11,IE,-1.0,-1.4,-3.7
921,2020-12,IE,-1.0,-1.5,-3.2
922,2021-01,IE,-0.1,-2.1,-2.7
923,2021-02,IE,-0.4,-1.9,-1.7
924,2021-03,IE,0.1,-0.9,0.1
925,2021-04,IE,1.1,-0.8,4.0
926,2021-05,IE,1.9,-1.1,6.3
927,2021-06,IE,1.6,-0.3,5.6
928,2021-07,IE,2.2,0.0,6.0
929,2021-08,IE,3.0,0.1,8.6
930,2021-09,IE,3.8,0.4,10.8
931,2021-10,IE,5.1,0.9,12.7
932,2021-11,IE,5.4,1.0,14.3
933,2021-12,IE,5.7,1.4,14.1
934,2022-01,IE,5.0,2.2,14.1
935,2022-02,IE,5.7,3.1,15.0
936,2022-03,IE,6.9,3.0,20.9
937,2022-04,IE,7.3,3.5,20.5
938,2022-05,IE,8.3,4.4,25.4
939,2022-06,IE,9.6,6.7,27.4
940,2022-07,IE,9.6,7.7,26.3
941,2022-08,IE,9.0,8.7,24.4
942,2022-09,IE,8.6,9.8,23.5
943,2022-10,IE,9.4,10.5,31.8
944,2022-11,IE,9.0,11.2,29.6
945,2022-12,IE,8.2,11.9,27.8
946,2023-01,IE,7.5,12.8,27.2
947,2023-02,IE,8.1,13.0,25.7
948,2023-03,IE,7.0,13.2,18.5
949,2023-04,IE,6.3,13.0,17.1
950,2023-05,IE,5.4,12.6,11.1
951,2023-06,IE,4.8,10.2,10.1
952,2023-07,IE,4.6,8.8,10.3
953,2023-08,IE,4.9,8.2,11.0
954,2023-09,IE,5.0,7.9,10.8
955,2023-10,IE,3.6,7.1,0.5
956,2023-11,IE,2.5,6.7,-2.6
957,2023-12,IE,3.2,5.6,-1.6
958,2024-01,IE,2.7,4.6,-1.9
959,2024-02,IE,2.3,4.1,-1.9
960,2024-03,IE,1.7,2.9,-4.2
961,2024-04,IE,1.6,2.9,-4.0
962,2024-05,IE,2.0,2.6,-3.2
963,2024-06,IE,1.5,2.4,-3.4
964,2024-07,IE,1.5,2.1,-3.5
965,2024-08,IE,1.1,2.0,-4.9
966,2024-09,IE,0.0,1.8,-5.7
967,2024-10,IE,0.1,2.1,-4.2
968,2024-11,IE,0.5,1.9,-1.2
969,2024-12,IE,1.0,2.0,-0.7
970,2025-01,IE,1.7,2.6,-0.2
971,2025-02,IE,1.4,2.4,-0.1
972,2025-03,IE,1.8,3.3,2.1
973,2025-04,IE,2.0,3.2,2.5
974,2025-05,IE,1.4,4.0,2.5
975,2020-01,IT,0.4,0.8,-2.6
976,2020-02,IT,0.2,0.5,-2.9
977,2020-03,IT,0.1,1.3,-2.9
978,2020-04,IT,0.1,3.0,-4.2
979,2020-05,IT,-0.3,2.7,-4.5
980,2020-06,IT,-0.4,2.5,-4.4
981,2020-07,IT,0.8,1.3,-4.0
982,2020-08,IT,-0.5,1.0,-4.0
983,2020-09,IT,-1.0,1.3,-3.9
984,2020-10,IT,-0.6,1.4,-2.2
985,2020-11,IT,-0.3,1.4,-2.0
986,2020-12,IT,-0.3,0.9,-2.0
987,2021-01,IT,0.7,0.6,-0.5
988,2021-02,IT,1.0,0.2,-0.3
989,2021-03,IT,0.6,0.0,-0.1
990,2021-04,IT,1.0,-0.6,5.0
991,2021-05,IT,1.2,-0.8,5.9
992,2021-06,IT,1.3,-0.6,5.9
993,2021-07,IT,1.0,0.2,9.2
994,2021-08,IT,2.5,0.9,9.6
995,2021-09,IT,2.9,1.1,9.7
996,2021-10,IT,3.2,1.1,11.4
997,2021-11,IT,3.9,1.4,14.1
998,2021-12,IT,4.2,2.9,14.4
999,2022-01,IT,5.1,3.8,22.8
1000,2022-02,IT,6.2,5.0,27.3
1001,2022-03,IT,6.8,5.9,28.3
1002,2022-04,IT,6.3,6.5,24.6
1003,2022-05,IT,7.3,7.6,26.5
1004,2022-06,IT,8.5,9.2,28.0
1005,2022-07,IT,8.4,10.0,24.7
1006,2022-08,IT,9.1,10.7,31.6
1007,2022-09,IT,9.4,11.8,32.2
1008,2022-10,IT,12.6,13.6,57.2
1009,2022-11,IT,12.6,13.8,56.5
1010,2022-12,IT,12.3,13.2,54.4
1011,2023-01,IT,10.7,12.6,34.8
1012,2023-02,IT,9.8,13.4,24.5
1013,2023-03,IT,8.1,13.2,15.0
1014,2023-04,IT,8.6,12.3,16.6
1015,2023-05,IT,8.0,11.9,15.2
1016,2023-06,IT,6.7,11.0,10.2
1017,2023-07,IT,6.3,10.9,9.0
1018,2023-08,IT,5.5,10.1,2.1
1019,2023-09,IT,5.6,8.9,1.8
1020,2023-10,IT,1.8,6.7,-17.6
1021,2023-11,IT,0.6,6.1,-19.9
1022,2023-12,IT,0.5,6.0,-19.4
1023,2024-01,IT,0.9,5.9,-13.8
1024,2024-02,IT,0.8,3.9,-11.7
1025,2024-03,IT,1.2,3.0,-6.8
1026,2024-04,IT,0.9,2.7,-9.0
1027,2024-05,IT,0.8,2.1,-9.5
1028,2024-06,IT,0.9,1.6,-6.2
1029,2024-07,IT,1.6,1.0,-2.2
1030,2024-08,IT,1.2,0.9,-1.4
1031,2024-09,IT,0.7,1.3,-1.2
1032,2024-10,IT,1.0,2.6,-1.5
1033,2024-11,IT,1.5,2.9,-0.6
1034,2024-12,IT,1.4,2.2,0.1
1035,2025-01,IT,1.7,2.2,0.7
1036,2025-02,IT,1.7,2.5,3.1
1037,2025-03,IT,2.1,2.6,6.0
1038,2025-04,IT,2.0,3.3,4.6
1039,2025-05,IT,1.7,3.3,3.9
1040,2020-01,LV,2.2,3.5,-0.2
1041,2020-02,LV,2.3,4.5,0.2
1042,2020-03,LV,1.4,3.6,-0.1
1043,2020-04,LV,-0.1,3.4,-1.5
1044,2020-05,LV,-0.9,2.7,-1.5
1045,2020-06,LV,-1.1,1.1,-2.3
1046,2020-07,LV,0.1,2.7,-1.9
1047,2020-08,LV,-0.5,2.0,-4.2
1048,2020-09,LV,-0.4,2.2,-4.3
1049,2020-10,LV,-0.7,1.2,-4.8
1050,2020-11,LV,-0.7,1.7,-4.5
1051,2020-12,LV,-0.5,1.1,-3.6
1052,2021-01,LV,-0.5,-0.1,-2.6
1053,2021-02,LV,-0.2,-0.4,-2.7
1054,2021-03,LV,0.3,-0.5,-2.5
1055,2021-04,LV,1.7,0.5,-0.7
1056,2021-05,LV,2.6,0.9,0.1
1057,2021-06,LV,2.7,2.0,0.8
1058,2021-07,LV,2.8,1.3,4.1
1059,2021-08,LV,3.6,2.1,6.7
1060,2021-09,LV,4.7,3.7,10.0
1061,2021-10,LV,6.0,4.5,11.7
1062,2021-11,LV,7.4,5.6,14.8
1063,2021-12,LV,7.9,7.3,15.8
1064,2022-01,LV,7.5,8.8,10.1
1065,2022-02,LV,8.8,11.8,11.2
1066,2022-03,LV,11.5,14.8,14.4
1067,2022-04,LV,13.1,17.4,16.2
1068,2022-05,LV,16.8,18.1,34.2
1069,2022-06,LV,19.2,22.1,39.7
1070,2022-07,LV,21.3,24.4,50.5
1071,2022-08,LV,21.4,25.9,52.1
1072,2022-09,LV,22.0,27.6,51.5
1073,2022-10,LV,21.7,29.6,46.9
1074,2022-11,LV,21.7,29.6,44.4
1075,2022-12,LV,20.7,29.0,42.8
1076,2023-01,LV,21.4,28.2,47.9
1077,2023-02,LV,20.1,25.4,46.3
1078,2023-03,LV,17.2,24.1,40.0
1079,2023-04,LV,15.0,20.4,35.6
1080,2023-05,LV,12.3,18.0,24.7
1081,2023-06,LV,8.1,14.5,13.1
1082,2023-07,LV,6.6,11.2,5.9
1083,2023-08,LV,5.6,8.2,1.7
1084,2023-09,LV,3.6,5.8,-6.4
1085,2023-10,LV,2.3,4.4,-6.6
1086,2023-11,LV,1.1,3.8,-9.1
1087,2023-12,LV,0.9,2.8,-10.3
1088,2024-01,LV,1.1,3.0,-7.4
1089,2024-02,LV,0.6,1.5,-8.0
1090,2024-03,LV,1.0,0.7,-6.8
1091,2024-04,LV,1.1,0.6,-6.1
1092,2024-05,LV,0.0,0.8,-13.0
1093,2024-06,LV,1.5,1.5,-8.4
1094,2024-07,LV,0.8,2.5,-11.3
1095,2024-08,LV,0.9,3.6,-9.9
1096,2024-09,LV,1.6,4.6,-4.8
1097,2024-10,LV,2.1,5.5,-3.3
1098,2024-11,LV,2.3,4.3,-1.7
1099,2024-12,LV,3.4,5.5,-1.2
1100,2025-01,LV,3.1,4.6,-0.4
1101,2025-02,LV,3.7,5.8,1.5
1102,2025-03,LV,3.5,6.5,1.2
1103,2025-04,LV,4.0,7.4,1.3
1104,2025-05,LV,3.7,7.6,3.2
1105,2020-01,LT,3.0,4.8,-2.9
1106,2020-02,LT,2.8,4.5,-3.2
1107,2020-03,LT,1.7,3.9,-4.7
1108,2020-04,LT,0.9,3.8,-4.5
1109,2020-05,LT,0.2,3.1,-5.2
1110,2020-06,LT,0.9,3.1,-4.1
1111,2020-07,LT,0.9,0.9,-6.2
1112,2020-08,LT,1.2,1.3,-4.0
1113,2020-09,LT,0.6,1.9,-4.3
1114,2020-10,LT,0.5,1.0,-3.1
1115,2020-11,LT,0.4,0.4,-2.8
1116,2020-12,LT,-0.1,-0.2,-3.2
1117,2021-01,LT,0.2,-0.4,-4.1
1118,2021-02,LT,0.4,-0.8,-4.1
1119,2021-03,LT,1.6,-0.2,-1.4
1120,2021-04,LT,2.4,0.0,1.6
1121,2021-05,LT,3.5,1.1,2.3
1122,2021-06,LT,3.5,1.0,3.6
1123,2021-07,LT,4.3,2.4,11.2
1124,2021-08,LT,5.0,3.1,13.3
1125,2021-09,LT,6.4,5.1,16.4
1126,2021-10,LT,8.2,7.0,18.0
1127,2021-11,LT,9.3,8.5,19.5
1128,2021-12,LT,10.7,11.5,26.2
1129,2022-01,LT,12.3,12.4,33.8
1130,2022-02,LT,14.0,15.4,38.9
1131,2022-03,LT,15.6,17.5,38.4
1132,2022-04,LT,16.6,21.8,38.2
1133,2022-05,LT,18.5,24.3,44.4
1134,2022-06,LT,20.5,28.2,47.7
1135,2022-07,LT,20.9,29.4,50.8
1136,2022-08,LT,21.1,29.8,56.8
1137,2022-09,LT,22.5,29.5,67.7
1138,2022-10,LT,22.1,32.6,59.5
1139,2022-11,LT,21.4,34.4,51.4
1140,2022-12,LT,20.0,33.3,42.8
1141,2023-01,LT,18.5,32.0,35.4
1142,2023-02,LT,17.2,29.3,32.7
1143,2023-03,LT,15.2,27.2,29.7
1144,2023-04,LT,13.3,21.2,23.6
1145,2023-05,LT,10.7,18.1,18.7
1146,2023-06,LT,8.2,14.4,14.4
1147,2023-07,LT,7.2,13.0,4.2
1148,2023-08,LT,6.4,11.5,-3.2
1149,2023-09,LT,4.1,8.7,-12.2
1150,2023-10,LT,3.1,5.8,-10.3
1151,2023-11,LT,2.3,3.2,-8.0
1152,2023-12,LT,1.6,1.0,-8.1
1153,2024-01,LT,1.1,0.5,-10.3
1154,2024-02,LT,1.1,-0.5,-11.0
1155,2024-03,LT,0.4,-1.5,-12.2
1156,2024-04,LT,0.4,-1.8,-11.6
1157,2024-05,LT,0.9,-0.9,-10.7
1158,2024-06,LT,1.0,-0.7,-9.7
1159,2024-07,LT,1.1,-1.0,-6.9
1160,2024-08,LT,0.8,-0.8,-5.7
1161,2024-09,LT,0.4,0.0,-4.7
1162,2024-10,LT,0.1,-0.7,-5.2
1163,2024-11,LT,1.1,0.4,-3.6
1164,2024-12,LT,1.9,1.1,-2.6
1165,2025-01,LT,3.4,2.4,0.9
1166,2025-02,LT,3.2,2.9,1.0
1167,2025-03,LT,3.7,4.3,3.6
1168,2025-04,LT,3.6,4.8,4.7
1169,2025-05,LT,3.0,4.1,2.3
1170,2020-01,LU,2.5,1.5,2.4
1171,2020-02,LU,1.8,1.8,1.0
1172,2020-03,LU,0.3,2.9,-0.3
1173,2020-04,LU,-0.8,3.9,-1.7
1174,2020-05,LU,-1.6,3.4,-2.4
1175,2020-06,LU,-0.4,3.1,-1.0
1176,2020-07,LU,0.1,2.2,-0.5
1177,2020-08,LU,-0.2,2.2,-0.9
1178,2020-09,LU,-0.3,2.7,-1.4
1179,2020-10,LU,-0.4,2.8,-1.6
1180,2020-11,LU,-0.7,2.7,-1.6
1181,2020-12,LU,-0.3,1.8,-1.1
1182,2021-01,LU,1.1,1.4,-0.9
1183,2021-02,LU,-0.5,1.1,0.5
1184,2021-03,LU,2.5,1.3,2.0
1185,2021-04,LU,3.3,-0.3,4.0
1186,2021-05,LU,4.0,0.4,4.9
1187,2021-06,LU,3.4,0.2,4.5
1188,2021-07,LU,3.3,0.9,4.5
1189,2021-08,LU,3.5,1.3,4.9
1190,2021-09,LU,4.0,0.9,5.5
1191,2021-10,LU,5.3,1.3,7.8
1192,2021-11,LU,6.3,1.5,9.6
1193,2021-12,LU,5.4,2.2,8.2
1194,2022-01,LU,4.6,2.8,9.7
1195,2022-02,LU,7.8,3.4,11.3
1196,2022-03,LU,7.9,3.9,12.0
1197,2022-04,LU,9.0,5.3,12.7
1198,2022-05,LU,9.1,5.6,9.7
1199,2022-06,LU,10.3,6.9,9.9
1200,2022-07,LU,9.3,7.6,8.9
1201,2022-08,LU,8.6,8.1,8.5
1202,2022-09,LU,8.8,8.7,8.9
1203,2022-10,LU,8.8,10.5,8.8
1204,2022-11,LU,7.3,10.5,6.3
1205,2022-12,LU,6.2,11.0,6.1
1206,2023-01,LU,5.8,11.7,3.3
1207,2023-02,LU,4.8,13.0,0.9
1208,2023-03,LU,2.9,13.1,-0.1
1209,2023-04,LU,2.7,12.5,-0.7
1210,2023-05,LU,2.0,12.2,1.0
1211,2023-06,LU,1.0,11.2,0.8
1212,2023-07,LU,2.0,10.6,1.4
1213,2023-08,LU,3.5,10.0,2.8
1214,2023-09,LU,3.4,9.1,2.8
1215,2023-10,LU,2.1,7.9,0.5
1216,2023-11,LU,2.1,7.7,0.9
1217,2023-12,LU,3.2,7.2,1.2
1218,2024-01,LU,3.0,6.3,1.2
1219,2024-02,LU,3.2,4.3,2.1
